"","NFR_wide.x","NFR_code","source","year","pollutant","emission","status","Code_2","NFR_wide.y","Code_3","NFR_mid","source_description"
"1","A_PublicPower","1A1a","Public electricity and heat production",1990-01-01,"NOx
(as NO2)",717.786609141179,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Public electricity and heat production"
"2","A_PublicPower","1A1a","Public electricity and heat production",1990-01-01,"NMVOC",7.050309520379,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Public electricity and heat production"
"3","A_PublicPower","1A1a","Public electricity and heat production",1990-01-01,"SOx 
(as SO2)",2530.099543982,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Public electricity and heat production"
"4","A_PublicPower","1A1a","Public electricity and heat production",1990-01-01,"NH3",0.007266911663,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Public electricity and heat production"
"5","A_PublicPower","1A1a","Public electricity and heat production",1990-01-01,"PM2.5",31.39254724561,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Public electricity and heat production"
"6","A_PublicPower","1A1a","Public electricity and heat production",1990-01-01,"PM10",70.056180528435,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Public electricity and heat production"
"7","A_PublicPower","1A1a","Public electricity and heat production",1990-01-01,"TSP",103.592453980707,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Public electricity and heat production"
"8","A_PublicPower","1A1a","Public electricity and heat production",1990-01-01,"BC",0.729546248123,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Public electricity and heat production"
"9","A_PublicPower","1A1a","Public electricity and heat production",1990-01-01,"CO",112.680335919524,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Public electricity and heat production"
"10","A_PublicPower","1A1a","Public electricity and heat production",1990-01-01,"Pb",142.893453051316,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Public electricity and heat production"
"11","A_PublicPower","1A1a","Public electricity and heat production",1990-01-01,"Cd",4.885335025177,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Public electricity and heat production"
"12","A_PublicPower","1A1a","Public electricity and heat production",1990-01-01,"Hg",9.127662267264,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Public electricity and heat production"
"13","A_PublicPower","1A1a","Public electricity and heat production",1990-01-01,"As",17.845490044113,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Public electricity and heat production"
"14","A_PublicPower","1A1a","Public electricity and heat production",1990-01-01,"Cr",53.049110646366,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Public electricity and heat production"
"15","A_PublicPower","1A1a","Public electricity and heat production",1990-01-01,"Cu",41.165950322654,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Public electricity and heat production"
"16","A_PublicPower","1A1a","Public electricity and heat production",1990-01-01,"Ni",92.661390603309,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Public electricity and heat production"
"17","A_PublicPower","1A1a","Public electricity and heat production",1990-01-01,"Se",55.290379030036,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Public electricity and heat production"
"18","A_PublicPower","1A1a","Public electricity and heat production",1990-01-01,"Zn",29.617667252962,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Public electricity and heat production"
"19","A_PublicPower","1A1a","Public electricity and heat production",1990-01-01,"PCDD/ PCDF
(dioxins/ furans)",154.686348754679,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Public electricity and heat production"
"20","A_PublicPower","1A1a","Public electricity and heat production",1990-01-01,"benzo(a) pyrene",0.081620712167,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Public electricity and heat production"
"21","A_PublicPower","1A1a","Public electricity and heat production",1990-01-01,"benzo(b) fluoranthene",0.048985543421,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Public electricity and heat production"
"22","A_PublicPower","1A1a","Public electricity and heat production",1990-01-01,"benzo(k) fluoranthene",0.048979021803,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Public electricity and heat production"
"23","A_PublicPower","1A1a","Public electricity and heat production",1990-01-01,"Indeno (1,2,3-cd) pyrene",0.04902324484,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Public electricity and heat production"
"24","A_PublicPower","1A1a","Public electricity and heat production",1990-01-01,"Total PAHs",0.228608522231,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Public electricity and heat production"
"25","A_PublicPower","1A1a","Public electricity and heat production",1990-01-01,"HCB",2.182660941584,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Public electricity and heat production"
"26","A_PublicPower","1A1a","Public electricity and heat production",1990-01-01,"PCBs",88.864261736157,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Public electricity and heat production"
"27","B_Industry","1A1b","Petroleum refining",1990-01-01,"NOx
(as NO2)",37.896126296985,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Petroleum refining"
"28","B_Industry","1A1b","Petroleum refining",1990-01-01,"NMVOC",0.679780428419,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Petroleum refining"
"29","B_Industry","1A1b","Petroleum refining",1990-01-01,"SOx 
(as SO2)",137.284343086172,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Petroleum refining"
"30","B_Industry","1A1b","Petroleum refining",1990-01-01,"NH3",NA,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Petroleum refining"
"31","B_Industry","1A1b","Petroleum refining",1990-01-01,"PM2.5",1.955316205,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Petroleum refining"
"32","B_Industry","1A1b","Petroleum refining",1990-01-01,"PM10",3.157298916326,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Petroleum refining"
"33","B_Industry","1A1b","Petroleum refining",1990-01-01,"TSP",4.158951174763,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Petroleum refining"
"34","B_Industry","1A1b","Petroleum refining",1990-01-01,"BC",0.099885748399,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Petroleum refining"
"35","B_Industry","1A1b","Petroleum refining",1990-01-01,"CO",6.531231329707,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Petroleum refining"
"36","B_Industry","1A1b","Petroleum refining",1990-01-01,"Pb",0.519213728777,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Petroleum refining"
"37","B_Industry","1A1b","Petroleum refining",1990-01-01,"Cd",0.022651252021,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Petroleum refining"
"38","B_Industry","1A1b","Petroleum refining",1990-01-01,"Hg",0.027541101488,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Petroleum refining"
"39","B_Industry","1A1b","Petroleum refining",1990-01-01,"As",0.133910935569,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Petroleum refining"
"40","B_Industry","1A1b","Petroleum refining",1990-01-01,"Cr",0.292490002766,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Petroleum refining"
"41","B_Industry","1A1b","Petroleum refining",1990-01-01,"Cu",0.45553528175,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Petroleum refining"
"42","B_Industry","1A1b","Petroleum refining",1990-01-01,"Ni",11.504319678048,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Petroleum refining"
"43","B_Industry","1A1b","Petroleum refining",1990-01-01,"Se",0.315185381698,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Petroleum refining"
"44","B_Industry","1A1b","Petroleum refining",1990-01-01,"Zn",2.911742683285,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Petroleum refining"
"45","B_Industry","1A1b","Petroleum refining",1990-01-01,"PCDD/ PCDF
(dioxins/ furans)",0.143140308298,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Petroleum refining"
"46","B_Industry","1A1b","Petroleum refining",1990-01-01,"benzo(a) pyrene",0.003794129775,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Petroleum refining"
"47","B_Industry","1A1b","Petroleum refining",1990-01-01,"benzo(b) fluoranthene",0.00249180508,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Petroleum refining"
"48","B_Industry","1A1b","Petroleum refining",1990-01-01,"benzo(k) fluoranthene",0.002311108501,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Petroleum refining"
"49","B_Industry","1A1b","Petroleum refining",1990-01-01,"Indeno (1,2,3-cd) pyrene",0.00230935364,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Petroleum refining"
"50","B_Industry","1A1b","Petroleum refining",1990-01-01,"Total PAHs",0.010906396996,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Petroleum refining"
"51","B_Industry","1A1b","Petroleum refining",1990-01-01,"HCB",0.01876982976,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Petroleum refining"
"52","B_Industry","1A1c","Manufacture of solid fuels and other energy industries",1990-01-01,"NOx
(as NO2)",60.745570993293,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Manufacture of solid fuels and other energy industries"
"53","B_Industry","1A1c","Manufacture of solid fuels and other energy industries",1990-01-01,"NMVOC",2.684013826998,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Manufacture of solid fuels and other energy industries"
"54","B_Industry","1A1c","Manufacture of solid fuels and other energy industries",1990-01-01,"SOx 
(as SO2)",8.274847454574,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Manufacture of solid fuels and other energy industries"
"55","B_Industry","1A1c","Manufacture of solid fuels and other energy industries",1990-01-01,"NH3",NA,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Manufacture of solid fuels and other energy industries"
"56","B_Industry","1A1c","Manufacture of solid fuels and other energy industries",1990-01-01,"PM2.5",0.86826174396,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Manufacture of solid fuels and other energy industries"
"57","B_Industry","1A1c","Manufacture of solid fuels and other energy industries",1990-01-01,"PM10",0.958096886463,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Manufacture of solid fuels and other energy industries"
"58","B_Industry","1A1c","Manufacture of solid fuels and other energy industries",1990-01-01,"TSP",1.11203889518,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Manufacture of solid fuels and other energy industries"
"59","B_Industry","1A1c","Manufacture of solid fuels and other energy industries",1990-01-01,"BC",0.304754966302,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Manufacture of solid fuels and other energy industries"
"60","B_Industry","1A1c","Manufacture of solid fuels and other energy industries",1990-01-01,"CO",21.171944695605,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Manufacture of solid fuels and other energy industries"
"61","B_Industry","1A1c","Manufacture of solid fuels and other energy industries",1990-01-01,"Pb",0.733944721458,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Manufacture of solid fuels and other energy industries"
"62","B_Industry","1A1c","Manufacture of solid fuels and other energy industries",1990-01-01,"Cd",0.018399976522,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Manufacture of solid fuels and other energy industries"
"63","B_Industry","1A1c","Manufacture of solid fuels and other energy industries",1990-01-01,"Hg",0.161665776276,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Manufacture of solid fuels and other energy industries"
"64","B_Industry","1A1c","Manufacture of solid fuels and other energy industries",1990-01-01,"As",0.190321450679,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Manufacture of solid fuels and other energy industries"
"65","B_Industry","1A1c","Manufacture of solid fuels and other energy industries",1990-01-01,"Cr",0.038566819537,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Manufacture of solid fuels and other energy industries"
"66","B_Industry","1A1c","Manufacture of solid fuels and other energy industries",1990-01-01,"Cu",0.756316673474,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Manufacture of solid fuels and other energy industries"
"67","B_Industry","1A1c","Manufacture of solid fuels and other energy industries",1990-01-01,"Ni",0.958580272435,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Manufacture of solid fuels and other energy industries"
"68","B_Industry","1A1c","Manufacture of solid fuels and other energy industries",1990-01-01,"Se",0.143286224085,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Manufacture of solid fuels and other energy industries"
"69","B_Industry","1A1c","Manufacture of solid fuels and other energy industries",1990-01-01,"Zn",0.931216150216,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Manufacture of solid fuels and other energy industries"
"70","B_Industry","1A1c","Manufacture of solid fuels and other energy industries",1990-01-01,"PCDD/ PCDF
(dioxins/ furans)",0.858235670888,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Manufacture of solid fuels and other energy industries"
"71","B_Industry","1A1c","Manufacture of solid fuels and other energy industries",1990-01-01,"benzo(a) pyrene",0.00041959227,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Manufacture of solid fuels and other energy industries"
"72","B_Industry","1A1c","Manufacture of solid fuels and other energy industries",1990-01-01,"benzo(b) fluoranthene",0.004721411453,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Manufacture of solid fuels and other energy industries"
"73","B_Industry","1A1c","Manufacture of solid fuels and other energy industries",1990-01-01,"benzo(k) fluoranthene",0.003017105373,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Manufacture of solid fuels and other energy industries"
"74","B_Industry","1A1c","Manufacture of solid fuels and other energy industries",1990-01-01,"Indeno (1,2,3-cd) pyrene",0.002255289633,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Manufacture of solid fuels and other energy industries"
"75","B_Industry","1A1c","Manufacture of solid fuels and other energy industries",1990-01-01,"Total PAHs",0.010413398729,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Manufacture of solid fuels and other energy industries"
"76","B_Industry","1A1c","Manufacture of solid fuels and other energy industries",1990-01-01,"HCB",0.001973088,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Manufacture of solid fuels and other energy industries"
"77","B_Industry","1A1c","Manufacture of solid fuels and other energy industries",1990-01-01,"PCBs",0.117,"Historic","1A","Fuel Combustion Activities","1A1","Energy Industries","Manufacture of solid fuels and other energy industries"
"78","B_Industry","1A2a","Stationary combustion in manufacturing industries and construction: Iron and steel",1990-01-01,"NOx
(as NO2)",23.435165030501,"Historic","1A","Fuel Combustion Activities","1A2","Manufacturing Industries and Construction","Stationary combustion in manufacturing industries and construction: Iron and steel"
"79","B_Industry","1A2a","Stationary combustion in manufacturing industries and construction: Iron and steel",1990-01-01,"NMVOC",1.360190041316,"Historic","1A","Fuel Combustion Activities","1A2","Manufacturing Industries and Construction","Stationary combustion in manufacturing industries and construction: Iron and steel"
"80","B_Industry","1A2a","Stationary combustion in manufacturing industries and construction: Iron and steel",1990-01-01,"SOx 
(as SO2)",28.21252324199,"Historic","1A","Fuel Combustion Activities","1A2","Manufacturing Industries and Construction","Stationary combustion in manufacturing industries and construction: Iron and steel"
"81","B_Industry","1A2a","Stationary combustion in manufacturing industries and construction: Iron and steel",1990-01-01,"NH3",NA,"Historic","1A","Fuel Combustion Activities","1A2","Manufacturing Industries and Construction","Stationary combustion in manufacturing industries and construction: Iron and steel"
"82","B_Industry","1A2a","Stationary combustion in manufacturing industries and construction: Iron and steel",1990-01-01,"PM2.5",0.987426959679,"Historic","1A","Fuel Combustion Activities","1A2","Manufacturing Industries and Construction","Stationary combustion in manufacturing industries and construction: Iron and steel"
"83","B_Industry","1A2a","Stationary combustion in manufacturing industries and construction: Iron and steel",1990-01-01,"PM10",1.218409191546,"Historic","1A","Fuel Combustion Activities","1A2","Manufacturing Industries and Construction","Stationary combustion in manufacturing industries and construction: Iron and steel"
"84","B_Industry","1A2a","Stationary combustion in manufacturing industries and construction: Iron and steel",1990-01-01,"TSP",1.253744616767,"Historic","1A","Fuel Combustion Activities","1A2","Manufacturing Industries and Construction","Stationary combustion in manufacturing industries and construction: Iron and steel"
"85","B_Industry","1A2a","Stationary combustion in manufacturing industries and construction: Iron and steel",1990-01-01,"BC",0.228804702871,"Historic","1A","Fuel Combustion Activities","1A2","Manufacturing Industries and Construction","Stationary combustion in manufacturing industries and construction: Iron and steel"
"86","B_Industry","1A2a","Stationary combustion in manufacturing industries and construction: Iron and steel",1990-01-01,"CO",323.198469647355,"Historic","1A","Fuel Combustion Activities","1A2","Manufacturing Industries and Construction","Stationary combustion in manufacturing industries and construction: Iron and steel"
"87","B_Industry","1A2a","Stationary combustion in manufacturing industries and construction: Iron and steel",1990-01-01,"Pb",0.359589011704,"Historic","1A","Fuel Combustion Activities","1A2","Manufacturing Industries and Construction","Stationary combustion in manufacturing industries and construction: Iron and steel"
"88","B_Industry","1A2a","Stationary combustion in manufacturing industries and construction: Iron and steel",1990-01-01,"Cd",0.038029197189,"Historic","1A","Fuel Combustion Activities","1A2","Manufacturing Industries and Construction","Stationary combustion in manufacturing industries and construction: Iron and steel"
"89","B_Industry","1A2a","Stationary combustion in manufacturing industries and construction: Iron and steel",1990-01-01,"Hg",0.136127118074,"Historic","1A","Fuel Combustion Activities","1A2","Manufacturing Industries and Construction","Stationary combustion in manufacturing industries and construction: Iron and steel"
"90","B_Industry","1A2a","Stationary combustion in manufacturing industries and construction: Iron and steel",1990-01-01,"As",0.091979691293,"Historic","1A","Fuel Combustion Activities","1A2","Manufacturing Industries and Construction","Stationary combustion in manufacturing industries and construction: Iron and steel"
"91","B_Industry","1A2a","Stationary combustion in manufacturing industries and construction: Iron and steel",1990-01-01,"Cr",0.070134093207,"Historic","1A","Fuel Combustion Activities","1A2","Manufacturing Industries and Construction","Stationary combustion in manufacturing industries and construction: Iron and steel"
"92","B_Industry","1A2a","Stationary combustion in manufacturing industries and construction: Iron and steel",1990-01-01,"Cu",0.097702235514,"Historic","1A","Fuel Combustion Activities","1A2","Manufacturing Industries and Construction","Stationary combustion in manufacturing industries and construction: Iron and steel"
"93","B_Industry","1A2a","Stationary combustion in manufacturing industries and construction: Iron and steel",1990-01-01,"Ni",2.881087517747,"Historic","1A","Fuel Combustion Activities","1A2","Manufacturing Industries and Construction","Stationary combustion in manufacturing industries and construction: Iron and steel"
"94","B_Industry","1A2a","Stationary combustion in manufacturing industries and construction: Iron and steel",1990-01-01,"Se",0.028106721785,"Historic","1A","Fuel Combustion Activities","1A2","Manufacturing Industries and Construction","Stationary combustion in manufacturing industries and construction: Iron and steel"
"95","B_Industry","1A2a","Stationary combustion in manufacturing industries and construction: Iron and steel",1990-01-01,"Zn",0.582700128637,"Historic","1A","Fuel Combustion Activities","1A2","Manufacturing Industries and Construction","Stationary combustion in manufacturing industries and construction: Iron and steel"
"96","B_Industry","1A2a","Stationary combustion in manufacturing industries and construction: Iron and steel",1990-01-01,"PCDD/ PCDF
(dioxins/ furans)",0.922120873607,"Historic","1A","Fuel Combustion Activities","1A2","Manufacturing Industries and Construction","Stationary combustion in manufacturing industries and construction: Iron and steel"
"97","B_Industry","1A2a","Stationary combustion in manufacturing industries and construction: Iron and steel",1990-01-01,"benzo(a) pyrene",0.000205748696,"Historic","1A","Fuel Combustion Activities","1A2","Manufacturing Industries and Construction","Stationary combustion in manufacturing industries and construction: Iron and steel"
"98","B_Industry","1A2a","Stationary combustion in manufacturing industries and construction: Iron and steel",1990-01-01,"benzo(b) fluoranthene",0.000341730926,"Historic","1A","Fuel Combustion Activities","1A2","Manufacturing Industries and Construction","Stationary combustion in manufacturing industries and construction: Iron and steel"
"99","B_Industry","1A2a","Stationary combustion in manufacturing industries and construction: Iron and steel",1990-01-01,"benzo(k) fluoranthene",0.000202253152,"Historic","1A","Fuel Combustion Activities","1A2","Manufacturing Industries and Construction","Stationary combustion in manufacturing industries and construction: Iron and steel"
"100","B_Industry","1A2a","Stationary combustion in manufacturing industries and construction: Iron and steel",1990-01-01,"Indeno (1,2,3-cd) pyrene",0.000178459812,"Historic","1A","Fuel Combustion Activities","1A2","Manufacturing Industries and Construction","Stationary combustion in manufacturing industries and construction: Iron and steel"
"101","B_Industry","1A2a","Stationary combustion in manufacturing industries and construction: Iron and steel",1990-01-01,"Total PAHs",0.000928192586,"Historic","1A","Fuel Combustion Activities","1A2","Manufacturing Industries and Construction","Stationary combustion in manufacturing industries and construction: Iron and steel"
"102","B_Industry","1A2a","Stationary combustion in manufacturing industries and construction: Iron and steel",1990-01-01,"HCB",0.005534588967,"Historic","1A","Fuel Combustion Activities","1A2","Manufacturing Industries and Construction","Stationary combustion in manufacturing industries and construction: Iron and steel"
"103","B_Industry","1A2a","Stationary combustion in manufacturing industries and construction: Iron and steel",1990-01-01,"PCBs",0.012,"Historic","1A","Fuel Combustion Activities","1A2","Manufacturing Industries and Construction","Stationary combustion in manufacturing industries and construction: Iron and steel"
"104","B_Industry","1A2b","Stationary combustion in manufacturing industries and construction: Non-ferrous metals",1990-01-01,"NOx
(as NO2)",2.494376297603,"Historic","1A","Fuel Combustion Activities","1A2","Manufacturing Industries and Construction","Stationary combustion in manufacturing industries and construction: Non-ferrous metals"
"105","B_Industry","1A2b","Stationary combustion in manufacturing industries and construction: Non-ferrous metals",1990-01-01,"NMVOC",0.109330679483,"Historic","1A","Fuel Combustion Activities","1A2","Manufacturing Industries and Construction","Stationary combustion in manufacturing industries and construction: Non-ferrous metals"
"106","B_Industry","1A2b","Stationary combustion in manufacturing industries and construction: Non-ferrous metals",1990-01-01,"SOx 
(as SO2)",3.713104062565,"Historic","1A","Fuel Combustion Activities","1A2","Manufacturing Industries and Construction","Stationary combustion in manufacturing industries and construction: Non-ferrous metals"
"107","B_Industry","1A2b","Stationary combustion in manufacturing industries and construction: Non-ferrous metals",1990-01-01,"NH3",NA,"Historic","1A","Fuel Combustion Activities","1A2","Manufacturing Industries and Construction","Stationary combustion in manufacturing industries and construction: Non-ferrous metals"
"108","B_Industry","1A2b","Stationary combustion in manufacturing industries and construction: Non-ferrous metals",1990-01-01,"PM2.5",0.270069572304,"Historic","1A","Fuel Combustion Activities","1A2","Manufacturing Industries and Construction","Stationary combustion in manufacturing industries and construction: Non-ferrous metals"
"109","B_Industry","1A2b","Stationary combustion in manufacturing industries and construction: Non-ferrous metals",1990-01-01,"PM10",0.287548082442,"Historic","1A","Fuel Combustion Activities","1A2","Manufacturing Industries and Construction","Stationary combustion in manufacturing industries and construction: Non-ferrous metals"
"110","B_Industry","1A2b","Stationary combustion in manufacturing industries and construction: Non-ferrous metals",1990-01-01,"TSP",0.301142479241,"Historic","1A","Fuel Combustion Activities","1A2","Manufacturing Industries and Construction","Stationary combustion in manufacturing industries and construction: Non-ferrous metals"
"111","B_Industry","1A2b","Stationary combustion in manufacturing industries and construction: Non-ferrous metals",1990-01-01,"BC",0.035011111498,"Historic","1A","Fuel Combustion Activities","1A2","Manufacturing Industries and Construction","Stationary combustion in manufacturing industries and construction: Non-ferrous metals"
"112","B_Industry","1A2b","Stationary combustion in manufacturing industries and construction: Non-ferrous metals",1990-01-01,"CO",2.33276834972,"Historic","1A","Fuel Combustion Activities","1A2","Manufacturing Industries and Construction","Stationary combustion in manufacturing industries and construction: Non-ferrous metals"
"113","B_Industry","1A2b","Stationary combustion in manufacturing industries and construction: Non-ferrous metals",1990-01-01,"Pb",0.122043965127,"Historic","1A","Fuel Combustion Activities","1A2","Manufacturing Industries and Construction","Stationary combustion in manufacturing industries and construction: Non-ferrous metals"
"114","B_Industry","1A2b","Stationary combustion in manufacturing industries and construction: Non-ferrous metals",1990-01-01,"Cd",0.011697474314,"Historic","1A","Fuel Combustion Activities","1A2","Manufacturing Industries and Construction","Stationary combustion in manufacturing industries and construction: Non-ferrous metals"
"115","B_Industry","1A2b","Stationary combustion in manufacturing industries and construction: Non-ferrous metals",1990-01-01,"Hg",0.044403679255,"Historic","1A","Fuel Combustion Activities","1A2","Manufacturing Industries and Construction","Stationary combustion in manufacturing industries and construction: Non-ferrous metals"
"116","B_Industry","1A2b","Stationary combustion in manufacturing industries and construction: Non-ferrous metals",1990-01-01,"As",0.02976388795,"Historic","1A","Fuel Combustion Activities","1A2","Manufacturing Industries and Construction","Stationary combustion in manufacturing industries and construction: Non-ferrous metals"
"117","B_Industry","1A2b","Stationary combustion in manufacturing industries and construction: Non-ferrous metals",1990-01-01,"Cr",0.021698305488,"Historic","1A","Fuel Combustion Activities","1A2","Manufacturing Industries and Construction","Stationary combustion in manufacturing industries and construction: Non-ferrous metals"
"118","B_Industry","1A2b","Stationary combustion in manufacturing industries and construction: Non-ferrous metals",1990-01-01,"Cu",0.03507806121,"Historic","1A","Fuel Combustion Activities","1A2","Manufacturing Industries and Construction","Stationary combustion in manufacturing industries and construction: Non-ferrous metals"
"119","B_Industry","1A2b","Stationary combustion in manufacturing industries and construction: Non-ferrous metals",1990-01-01,"Ni",0.86193122705,"Historic","1A","Fuel Combustion Activities","1A2","Manufacturing Industries and Construction","Stationary combustion in manufacturing industries and construction: Non-ferrous metals"
"120","B_Industry","1A2b","Stationary combustion in manufacturing industries and construction: Non-ferrous metals",1990-01-01,"Se",0.012456358532,"Historic","1A","Fuel Combustion Activities","1A2","Manufacturing Industries and Construction","Stationary combustion in manufacturing industries and construction: Non-ferrous metals"
